"paste(locationid, channel)", avg_release ,release_site_name,release_stage,channel,species_name
600 FALSE," 17,902 ",Mamquam River,"Smolt 1+, Fed Fry, Unfed",FALSE,"Chinook, Coho"
1047 FALSE," 17,762 ",Swift Creek,Fed Fry,FALSE,Chinook
151 FALSE," 17,562 ",Toquart Lake,"Smolt 0+, Fed Fry",FALSE,Chinook
553 FALSE," 17,500 ",Rees Creek,Fed Fry,FALSE,Coho
117 FALSE," 17,390 ",Holland Creek,Fed Fry,FALSE,"Chum, Coho"
905 FALSE," 17,353 ",Bridge River,"Fed Fry, Fed Fall, Smolt 1+, Eyed Egg, Unfed",FALSE,"Chinook, Coho"
1137 FALSE," 17,273 ",Morkill River,Fed Fry,FALSE,"Chum, Chinook"
1095 FALSE," 17,229 ",Branch 10 Creek,Fed Fry,FALSE,Chum
399 FALSE," 17,117 ",McDonald Creek,Fed Fry,FALSE,"Chum, Coho"
378 FALSE," 16,993 ",First Narrows North Shaft,Smolt 1+,FALSE,Steelhead
40 FALSE," 16,877 ",Saanich Inlet,Seapen 1+,FALSE,Coho
1303 FALSE," 16,632 ",Porter Creek,Fed Fry,FALSE,Sockeye
341 FALSE," 16,592 ",Schoolhouse/South,"Fed Fry, Unfed",FALSE,"Pink, Chum"
577 FALSE," 16,559 ",Bloedel Creek,Fed Fry,FALSE,Coho
68 FALSE," 16,349 ",Lyall Creek,"Fed Fry, Unfed",FALSE,Chum
1097 FALSE," 16,181 ",Honna River,Fed Fry,FALSE,Coho
1185 FALSE," 16,073 ",Diana Creek,Fed Fry,FALSE,Coho
437 FALSE," 16,052 ",Eagle Harbour Creek,Fed Fry,FALSE,"Chum, Coho"
438 FALSE," 16,034 ",Coquitlam Lake,"Fed Fry, Smolt 1+",FALSE,Coho
1074 FALSE," 15,904 ",Nazko River,"Smolt 1+, Fed Fry",FALSE,Chinook
817 FALSE," 15,897 ",Ida Lake,"Fed Fry, Smolt 1+",FALSE,Coho
413 FALSE," 15,845 ",Rodgers Creek,Fed Fry,FALSE,"Chum, Coho"
18 FALSE," 15,390 ",Prior Lake,Smolt 1+,FALSE,Coho
126 FALSE," 15,302 ",Bush Creek,Fed Fry,FALSE,Chum
850 FALSE," 15,104 ",Bear (Mills) Creek,Unfed,FALSE,Coho
1234 FALSE," 15,000 ",Binche Tachie Creek,Fed Fry,FALSE,Sockeye
408 FALSE," 14,927 ",West Vancouver Lab,"Smolt 1+, Smolt 2+, Fed Fry, Seapen 1+",FALSE,"Steelhead, Coho"
822 FALSE," 14,884 ",Skidder Lake,Unfed,FALSE,Coho
113 FALSE," 14,868 ",Darlington Lake,Fed Fry,FALSE,Coho
97 FALSE," 14,868 ",Flora Lake,Fed Fry,FALSE,Coho
308 FALSE," 14,733 ",Guichon Creek/Lower Fraser,Fed Fry,FALSE,Chum
311 FALSE," 14,725 ",Still Creek,Fed Fry,FALSE,"Chum, Coho"
1223 FALSE," 14,696 ",Zymacord River,"Fed Fry, Smolt 1+, Eyed Egg",FALSE,Coho
968 FALSE," 14,659 ",Chuckwalla River,Fed Fry,FALSE,Chinook
1108 FALSE," 14,551 ",West Road River,Fed Fry,FALSE,Chinook
541 FALSE," 14,455 ",Bradley Lake,Fed Fry,FALSE,"Chum, Coho"
864 FALSE," 14,449 ",Quatse Lake,Unfed,FALSE,Coho
1190 FALSE," 14,430 ",Kloiya Creek,Fed Fry,FALSE,Chinook
127 FALSE," 14,408 ",Draw Creek,"Eyed Egg, Fed Fry",FALSE,Coho
15 FALSE," 14,407 ",Craigflower Creek,"Smolt 1+, Fed Fall, Fed Fry",FALSE,Coho
704 FALSE," 13,991 ",Shovelnose Creek,"Smolt 1+, Fed Fry",FALSE,Chinook
355 FALSE," 13,916 ",Burrard Inlet,"Smolt 1+, Seapen 1+",FALSE,Coho
334 FALSE," 13,808 ",Spanish Banks Creek,"Eyed Egg, Fed Fry",FALSE,"Chum, Coho"
261 FALSE," 13,800 ",Sutton Mill Creek,Fed Fry,FALSE,Chum
879 FALSE," 13,719 ",Thompson River North,Unfed,FALSE,Coho
144 FALSE," 13,474 ",Borden Channel,Unfed,FALSE,Chum
761 FALSE," 13,375 ",Gun Range Creek,"Fed Fry, Smolt 1+",FALSE,Coho
1157 FALSE," 13,369 ",Nechako River,Fed Fry,FALSE,"Chinook, Coho, Pink"
83 FALSE," 13,336 ",Beaver Creek/Strait of Georgia Vancouver Island,Fed Fry,FALSE,Coho
419 FALSE," 12,682 ",Sandy Cove,Smolt 1+,FALSE,Steelhead
411 FALSE," 12,541 ",Deer Creek,"Fed Fry, Unfed",FALSE,Coho
1093 FALSE," 12,294 ",Tarundl Creek,Fed Fry,FALSE,Coho
279 FALSE," 12,229 ",Coquitlam River,"Smolt 1+, Fed Fry, Fed Fall, Unfed",FALSE,"Sockeye, Chum, Coho"
735 FALSE," 11,842 ",Spahomin Creek,Fed Fry,FALSE,Chinook
1277 FALSE," 11,718 ",Kitwancool Lake,"Fed Fall, Fed Fry",FALSE,Sockeye
264 FALSE," 11,523 ",Brannen Lake,"Fed Fry, Fed Fall",FALSE,Coho
1004 FALSE," 11,346 ",Chilcotin River (Upper),Fed Fry,FALSE,Chinook
660 FALSE," 11,335 ",Ashlu Creek,"Smolt 1+, Fed Fry, Unfed",FALSE,Chinook
943 FALSE," 11,309 ",Taaltz Creek,Fed Fry,FALSE,Chum
846 FALSE," 11,236 ",Hyde Creek/Johnstone Strait,Unfed,FALSE,Coho
12 FALSE," 11,215 ",Bowker Creek,"Eyed Egg, Fed Fry",FALSE,Chum
183 FALSE," 10,984 ",Clayburn Creek,"Fed Fry, Smolt 1+, Unfed",FALSE,Coho
1155 FALSE," 10,420 ",Chilako River,Smolt 1+,FALSE,Chinook
956 FALSE," 10,229 ",McTaggart Creek,Smolt 1+,FALSE,Coho
297 FALSE," 10,157 ",Deer Lake Creek,Fed Fry,FALSE,"Chum, Coho"
1213 FALSE," 10,000 ",Soche Creek,Fed Fry,FALSE,Sockeye
1235 FALSE," 10,000 ",Yekooche Creek,Fed Fry,FALSE,Sockeye
1243 FALSE," 10,000 ",Kuskwa River,Fed Fry,FALSE,Sockeye
192 FALSE," 10,000 ",Bear (Mahood) Creek,Fed Fry,FALSE,Chum
728 FALSE," 10,000 ",James Creek/Cortes,Eyed Egg,FALSE,Chum
352 FALSE," 9,985 ",Shuhum Creek,Unfed,FALSE,Coho
1073 FALSE," 9,859 ",Cottonwood River,Fed Fry,FALSE,Chinook
147 FALSE," 9,837 ",Stoney Creek/Abbotsford,"Fed Fry, Smolt 1+",FALSE,Coho
1130 FALSE," 9,699 ",Crush Creek,Fed Fry,FALSE,Coho
1128 FALSE," 9,534 ",Wood Cove Creek,Fed Fry,FALSE,Coho
364 FALSE," 9,533 ",Ioco,Seapen 1+,FALSE,Coho
398 FALSE," 9,262 ",Lawson Creek,Fed Fry,FALSE,"Chum, Coho"
762 FALSE," 9,136 ",Rice Creek,"Fed Fry, Smolt 1+",FALSE,Coho
958 FALSE," 8,919 ",Dunn Lake,Smolt 1+,FALSE,Coho
70 FALSE," 8,863 ",Pachena River,"Fed Fry, Unfed",FALSE,Coho
1116 FALSE," 8,829 ",Jungle Creek,Fed Fry,FALSE,Coho
1327 FALSE," 8,828 ",Yukon River,"Smolt 0+, Fed Fry",FALSE,Chinook
1082 FALSE," 8,786 ",Copper Creek,Fed Fry,FALSE,Coho
902 FALSE," 8,584 ",Deadman River,"Smolt 1+, Unfed, Fed Fry",FALSE,Coho
346 FALSE," 8,578 ",Hyde Creek/Lower Fraser,"Fed Fry, Smolt 1+, Unfed",FALSE,"Chum, Coho"
451 FALSE," 8,551 ",Bear Creek/Southwest Vancouver Island,Unfed,FALSE,Coho
1208 FALSE," 8,274 ",Bulkley River Upper,"Smolt 1+, Fed Fry",FALSE,"Chinook, Coho"
798 FALSE," 8,250 ",Ritchie Pond South,Fed Fry,FALSE,Coho
591 FALSE," 8,194 ",Loggers Lane Creek,"Fed Fry, Unfed",FALSE,Coho
21 FALSE," 8,131 ",Mount Douglas Creek,"Fed Fry, Eyed Egg, Smolt 1+, Unfed",FALSE,"Chum, Coho"
982 FALSE," 8,011 ",Chilcotin River (Lower),Fed Fry,FALSE,Chinook
1217 FALSE," 8,000 ",Nahounli Creek,Fed Fry,FALSE,Sockeye
292 FALSE," 8,000 ",Buckingham Creek,Fed Fry,FALSE,Chum
1092 FALSE," 7,955 ",Haans Creek,Fed Fry,FALSE,Coho
44 FALSE," 7,879 ",Shawnigan Creek,"Fed Fry, Unfed",FALSE,"Coho, Chum"
867 FALSE," 7,802 ",Glendale River,"Fed Fall, Fed Fry, Eyed Egg",FALSE,"Coho, Pink"
247 FALSE," 7,670 ",Hayward Lake,Smolt 1+,FALSE,Steelhead
644 FALSE," 7,651 ",Kiwi Channel South,Fed Fry,FALSE,Coho
332 FALSE," 7,589 ",Hoy Creek,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
333 FALSE," 7,491 ",Alexander Creek,Unfed,FALSE,Coho
1194 FALSE," 7,487 ",Oldfield Creek,"Fed Fry, Smolt 1+, Fed Fall",FALSE,Coho
959 FALSE," 7,276 ",Dunn Creek,"Smolt 1+, Unfed, Fed Fry",FALSE,Coho
436 FALSE," 7,271 ",Explosives Creek,Fed Fry,FALSE,"Chum, Coho"
828 FALSE," 7,250 ",Sultan Creek,"Smolt 1+, Fed Fry",FALSE,Coho
467 FALSE," 7,103 ",Killarney Lake,Fed Fry,FALSE,"Chum, Coho"
1112 FALSE," 7,049 ",Leander Creek,Fed Fry,FALSE,Coho
427 FALSE," 7,041 ",Spaht Creek,"Fed Fry, Unfed",FALSE,Coho
1080 FALSE," 7,001 ",Swamp Lake,Fed Fry,FALSE,Coho
801 FALSE," 7,000 ",Bonanza Lake,Smolt 1+,FALSE,Coho
829 FALSE," 7,000 ",Tsulton Creek,Fed Fry,FALSE,Coho
62 FALSE," 6,766 ",Fulford Creek,"Fed Fry, Unfed",FALSE,"Coho, Chum"
1317 FALSE," 6,530 ",Wolf Creek/Yukon,"Smolt 0+, Fed Fry",FALSE,Chinook
382 FALSE," 6,298 ",Beaver Creek Lower/Southwest Vancouver Island,"Unfed, Fed Fry, Eyed Egg",FALSE,Coho
416 FALSE," 6,266 ",Cypress Creek/Strait of Georgia Mainland,Fed Fry,FALSE,"Chum, Coho"
1146 FALSE," 6,150 ",Grouse Creek,Fed Fry,FALSE,Coho
1240 FALSE," 6,057 ",Mary Cove,Smolt 1+,FALSE,Sockeye
321 FALSE," 5,589 ",Scott Creek,Fed Fry,FALSE,Coho
351 FALSE," 5,500 ",Sproat Lake,Fed Fry,FALSE,Coho
174 FALSE," 5,396 ",Cent/Bulbeard Channel,Unfed,FALSE,Pink
1089 FALSE," 5,381 ",Sachs Creek,Fed Fry,FALSE,Coho
452 FALSE," 5,380 ",Cypress Creek/Lower Fraser,Fed Fry,FALSE,Coho
1174 FALSE," 5,100 ",Endako River,"Smolt 1+, Fed Fry",FALSE,Chinook
843 FALSE," 5,082 ",Alder Bay,Seapen,FALSE,Chum
373 FALSE," 5,044 ",Miami Creek,Fed Fry,FALSE,Chum
1177 FALSE," 5,019 ",Salmon River/Upper Fraser,Fed Fry,FALSE,Chinook
125 FALSE," 4,938 ",Fergus Creek,Fed Fry,FALSE,Coho
681 FALSE," 4,909 ",Zeballos River,"Fed Fry, Unfed",FALSE,"Chum, Coho"
1158 FALSE," 4,866 ",Deep Creek/Haida Gwaii,Fed Fry,FALSE,Coho
1162 FALSE," 4,763 ",Oona River,Fed Fry,FALSE,Coho
911 FALSE," 4,725 ",Hansen Creek,Fed Fry,FALSE,Coho
727 FALSE," 4,650 ",Carrington Creek,Fed Fry,FALSE,Coho
619 FALSE," 4,473 ",Brackendale Creek,"Unfed, Fed Fry",FALSE,Coho
1033 FALSE," 4,459 ",Mary Cove Creek,"Fed Fry, Smolt 1+",FALSE,Sockeye
9 FALSE," 4,257 ",Charters Creek,"Fed Fry, Smolt 0+",FALSE,"Chinook, Coho"
1237 FALSE," 4,250 ",Tachie River,Fed Fry,FALSE,Sockeye
1126 FALSE," 3,946 ",Indianpoint Creek,Fed Fry,FALSE,Chinook
1196 FALSE," 3,579 ",Hays Creek,Fed Fry,FALSE,Coho
349 FALSE," 3,574 ",Dixon Creek,Unfed,FALSE,Coho
1125 FALSE," 3,574 ",Howard Creek,Fed Fry,FALSE,Coho
14 FALSE," 3,464 ",Millstream River,"Smolt 1+, Fed Fry",FALSE,Coho
1286 FALSE," 3,348 ",Hudson Bay Creek,"Fed Fall, Fed Fry",FALSE,Sockeye
1204 FALSE," 3,280 ",Maxan Lake,Fed Fry,FALSE,Coho
1247 FALSE," 3,232 ",Kathlyn Lake,"Fed Fry, Smolt 1+",FALSE,"Chinook, Coho"
184 FALSE," 3,220 ",Intake Creek,Eyed Egg,FALSE,Coho
900 FALSE," 3,049 ",Bonaparte River,Fed Fry,FALSE,"Chinook, Coho"
244 FALSE," 3,047 ",Kaymar Creek,"Fed Fry, Smolt 1+",FALSE,"Chum, Coho"
185 FALSE," 3,027 ",Fraser River Upper,"Fed Fry, Fed Fall",FALSE,"Chinook, Chum"
1113 FALSE," 2,850 ",Culvert 150 Creek,Fed Fry,FALSE,Coho
1001 FALSE," 2,777 ",Atnarko Channel,Eyed Egg,FALSE,Sockeye
266 FALSE," 2,750 ",McFadden Creek,Fed Fry,FALSE,Coho
1088 FALSE," 2,723 ",Little Sachs Creek,Fed Fry,FALSE,Coho
335 FALSE," 2,709 ",Partington Creek,Fed Fry,FALSE,Coho
1010 FALSE," 2,536 ",Bullock Channel,Fed Fry,FALSE,Chum
732 FALSE," 2,513 ",Menzies Creek,Fed Fall,FALSE,Coho
265 FALSE," 2,500 ",Cooper Creek,Fed Fry,FALSE,Coho
88 FALSE," 2,500 ",Meade Creek,Fed Fry,FALSE,"Chum, Coho"
312 FALSE," 2,374 ",Stoney Creek/Brunette,"Smolt 1+, Fed Fry",FALSE,"Coho, Chum"
522 FALSE," 2,365 ",Angus Creek,Fed Fry,FALSE,Chum
361 FALSE," 2,335 ",Plested Creek,Fed Fry,FALSE,Coho
343 FALSE," 2,108 ",Smiling Creek,Fed Fry,FALSE,Coho
16 FALSE," 2,050 ",Colquitz Creek,Fed Fry,FALSE,"Coho, Chum"
11 FALSE," 2,000 ",Jordan River,Eyed Egg,FALSE,Pink
1296 FALSE," 2,000 ",Sitlika Creek,Fed Fry,FALSE,Sockeye
1299 FALSE," 2,000 ",Blackwater Creek/Upper Fraser,Fed Fry,FALSE,Sockeye
360 FALSE," 2,000 ",Tall Timbers Creek,Unfed,FALSE,Coho
73 FALSE," 1,998 ",Cusheon Creek,Fed Fry,FALSE,Coho
454 FALSE," 1,951 ",Grafton Lake,Fed Fry,FALSE,Coho
284 FALSE," 1,818 ",Beaver Creek/Lower Fraser,Fed Fry,FALSE,Coho
1215 FALSE," 1,764 ",Lakelse River,Fed Fry,FALSE,Coho
1226 FALSE," 1,721 ",Richfield Creek,Fed Fry,FALSE,Coho
24 FALSE," 1,672 ",Tod Creek,"Smolt 1+, Fed Fall, Fed Fry",FALSE,"Coho, Chum"
320 FALSE," 1,600 ",Beecher Creek,Fed Fry,FALSE,Coho
877 FALSE," 1,566 ",Seton River,Fed Fry,FALSE,Coho
366 FALSE," 1,563 ",Morten Creek,Fed Fry,FALSE,"Coho, Chum"
374 FALSE," 1,341 ",Beaver Creek/Strait of Georgia Mainland,Fed Fry,FALSE,"Chum, Coho"
679 FALSE," 1,338 ",Simms Creek,"Fed Fall, Fed Fry",FALSE,Coho
677 FALSE," 1,265 ",Nahatlatch River,Fed Fry,FALSE,Chinook
1203 FALSE," 1,250 ",Herman Creek,Fed Fry,FALSE,Coho
76 FALSE," 1,250 ",Beaver Lake/Strait of Georgia Vancouver Island,Fed Fry,FALSE,Coho
894 FALSE," 1,238 ",Tranquille River,Fed Fry,FALSE,Coho
1210 FALSE," 1,039 ",Buck Creek,"Fed Fry, Smolt 1+",FALSE,Coho
120 FALSE," 1,000 ",Columbia River,Fed Fry,FALSE,Sockeye
430 FALSE," 1,000 ",Woods Creek/Strait of Georgia Mainland,Fed Fry,FALSE,Coho
79 FALSE," 1,000 ",Bear Lake,Fed Fry,FALSE,Coho
229 FALSE, 991 ,Millstone River,Fed Fry,FALSE,Coho
233 FALSE, 920 ,Nevin Creek/Lower Fraser,Fed Fry,FALSE,Chinook
198 FALSE, 873 ,Silverdale Creek,Fed Fry,FALSE,Chum
331 FALSE, 864 ,Cougar Smith Peak,Unfed,FALSE,Coho
795 FALSE, 825 ,Paccar Resort Pond,Fed Fry,FALSE,Coho
414 FALSE, 800 ,Hadden Creek,Fed Fry,FALSE,Coho
694 FALSE, 784 ,Nunn's Creek,"Fed Fall, Fed Fry",FALSE,Coho
37 FALSE, 756 ,Tetayut Creek,"Smolt 1+, Fed Fall, Fed Fry",FALSE,"Coho, Chum"
401 FALSE, 704 ,Brothers Creek,Fed Fry,FALSE,"Coho, Chum"
998 FALSE, 684 ,Chilcotin River,Fed Fry,FALSE,Chinook
453 FALSE, 660 ,Silver Creek/Lower Fraser,Fed Fry,FALSE,Coho
66 FALSE, 558 ,Holmes Creek,Fed Fry,FALSE,"Chinook, Chum"
793 FALSE, 500 ,John Wayne Pond,Fed Fry,FALSE,Coho
93 FALSE, 487 ,Ganges Creek,Fed Fry,FALSE,"Chum, Coho"
1322 FALSE, 452 ,Kluane River,Fed Fry,FALSE,Chum
551 FALSE, 429 ,Hart Creek,Fed Fry,FALSE,Coho
86 FALSE, 401 ,Oliver Creek,Fed Fry,FALSE,"Coho, Chum"
1061 FALSE, 393 ,Dragon Creek,Fed Fry,FALSE,Chinook
987 FALSE, 379 ,Williams Lake River,Fed Fry,FALSE,"Chinook, Pink"
43 FALSE, 377 ,Reay Creek,Fed Fry,FALSE,"Chum, Coho"
392 FALSE, 353 ,Thain Creek,Fed Fry,FALSE,Chum
376 FALSE, 352 ,McCartney Creek,Fed Fry,FALSE,Chum
1034 FALSE, 350 ,Pine Creek,Fed Fry,FALSE,Coho
254 FALSE, 349 ,John Matthews Creek,Smolt 1+,FALSE,Coho
397 FALSE, 348 ,Hastings Creek/Strait of Georgia Mainland,Fed Fry,FALSE,"Coho, Chum"
1056 FALSE, 345 ,Waterfall Creek/Haida Gwaii,Fed Fry,FALSE,Coho
1103 FALSE, 328 ,Balance Rock Creek,Fed Fry,FALSE,Coho
1060 FALSE, 303 ,Quesnel River,"Fed Fry, Eyed Egg",FALSE,"Chinook, Pink"
653 FALSE, 300 ,Black Creek,Fed Fry,FALSE,Coho
1273 FALSE, 289 ,Babine Lake,Fed Fry,FALSE,Coho
1062 FALSE, 285 ,Baker Creek,Fed Fry,FALSE,Chinook
263 FALSE, 282 ,Froggers Creek,Smolt 1+,FALSE,Coho
794 FALSE, 275 ,Chris Mailman Pond,Fed Fry,FALSE,Coho
1248 FALSE, 257 ,Club Creek,Fed Fry,FALSE,Coho
1179 FALSE, 250 ,Hirsch Creek,Fed Fry,FALSE,Coho
63 FALSE, 248 ,Somenos Creek,Fed Fry,FALSE,Chum
45 FALSE, 225 ,Hartl Creek,Fed Fry,FALSE,Coho
23 FALSE, 215 ,Wray Creek,Fed Fry,FALSE,Coho
101 FALSE, 204 ,Duck Creek,Fed Fry,FALSE,Coho
91 FALSE, 196 ,Hastings Creek/Strait of Georgia Vancouver Island,Fed Fry,FALSE,Coho
1266 FALSE, 192 ,Waterfall Creek/Skeena River,Fed Fry,FALSE,Coho
35 FALSE, 176 ,Haro Strait,Smolt 1+,FALSE,Chinook
54 FALSE, 167 ,Chalet Creek,Fed Fry,FALSE,"Chum, Coho"
1242 FALSE, 165 ,Kathlyn Creek,Fed Fry,FALSE,Coho
59 FALSE, 162 ,Koksilah River,Fed Fry,FALSE,"Chum, Coho"
726 FALSE, 157 ,Hyacinthe Creek,Fed Fry,FALSE,Coho
1170 FALSE, 155 ,Wiley Creek,Fed Fry,FALSE,Coho
1305 FALSE, 151 ,Rainy Creek,Fed Fry,FALSE,Coho
1324 FALSE, 148 ,Tatchun River,Fed Fry,FALSE,Chinook
106 FALSE, 147 ,Greig Creek/Strait of Georgia Vancouver Island,Fed Fry,FALSE,"Chum, Coho"
65 FALSE, 147 ,Roe Creek,Fed Fry,FALSE,"Chum, Coho"
1263 FALSE, 146 ,Kitwanga River,Fed Fry,FALSE,Coho
316 FALSE, 134 ,Bloods Creek,Fed Fry,FALSE,Coho
1265 FALSE, 125 ,Zolzap Creek,Fed Fry,FALSE,Coho
1328 FALSE, 125 ,Porcupine River,Fed Fry,FALSE,Chum
1246 FALSE, 123 ,Fulton River,Fed Fry,FALSE,Coho
72 FALSE, 122 ,Averill Creek,Fed Fry,FALSE,"Chum, Coho"
883 FALSE, 120 ,Wa'wis Creek,Fed Fry,FALSE,Coho
1275 FALSE, 110 ,Moonlit Creek,Fed Fry,FALSE,Coho
1313 FALSE, 105 ,Morley River,Fed Fry,FALSE,Chinook
1323 FALSE, 104 ,Blind Creek,Fed Fry,FALSE,Chinook
188 FALSE, 100 ,Mackenzie Creek,Fed Fry,FALSE,Coho
934 FALSE, 100 ,Kingcome River,Fed Fry,FALSE,Coho
1302 FALSE, 99 ,Swan Lake,Fed Fry,FALSE,Coho
513 FALSE, 98 ,Magnesia Creek,Fed Fry,FALSE,Chum
67 FALSE, 98 ,Bings Creek,Fed Fry,FALSE,Chum
94 FALSE, 97 ,Swordfern Creek,Fed Fry,FALSE,"Chum, Coho"
714 FALSE, 96 ,Larson Meadow,Fed Fry,FALSE,Coho
602 FALSE, 96 ,Scales Creek,Fed Fry,FALSE,Coho
1024 FALSE, 95 ,Albreda River,Fed Fry,FALSE,Coho
530 FALSE, 95 ,Beulah Creek,Fed Fry,FALSE,Coho
238 FALSE, 95 ,Mallett Creek,Fed Fry,FALSE,"Chum, Coho"
95 FALSE, 93 ,Miracle Creek,Fed Fry,FALSE,"Chum, Coho"
897 FALSE, 92 ,Little Tsulquate River,Fed Fry,FALSE,Coho
394 FALSE, 84 ,Taylor Creek,Fed Fry,FALSE,Chum
1141 FALSE, 83 ,Rennie Creek,Fed Fry,FALSE,Coho
1168 FALSE, 82 ,Wylie Creek,Fed Fry,FALSE,Coho
1282 FALSE, 79 ,McQueen Creek,Fed Fry,FALSE,Coho
1101 FALSE, 75 ,Charlie Hartie Creek,Fed Fry,FALSE,Coho
812 FALSE, 74 ,Nequiltpaalis Creek,Fed Fry,FALSE,Coho
1241 FALSE, 71 ,Dahlie Creek,Fed Fry,FALSE,Coho
1326 FALSE, 68 ,Klondike River,Fed Fry,FALSE,Chinook
690 FALSE, 65 ,Haig-Brown K'fishr,Fed Fry,FALSE,Coho
978 FALSE, 60 ,Blue River,Fed Fry,FALSE,Coho
446 FALSE, 58 ,Wood Creek,Fed Fry,FALSE,Chum
1320 FALSE, 57 ,Takhini River,Fed Fry,FALSE,Chinook
444 FALSE, 56 ,Larson Creek,Fed Fry,FALSE,"Chum, Coho"
1276 FALSE, 56 ,Babine River,Fed Fry,FALSE,Chinook
599 FALSE, 56 ,Brennan Peak Channel,Fed Fry,FALSE,Coho
498 FALSE, 52 ,Lions Bay,Fed Fry,FALSE,Coho
275 FALSE, 50 ,Musqueam Creek,Fed Fry,FALSE,Chum
458 FALSE, 50 ,Hotspring Creek,Fed Fry,FALSE,Coho
1180 FALSE, 40 ,McBride Creek,Fed Fry,FALSE,Chinook
666 FALSE, 40 ,Storey Creek,Fed Fry,FALSE,Coho
245 FALSE, 37 ,Robson Creek,Fed Fry,FALSE,Chum
435 FALSE, 20 ,Houlgate Creek,Fed Fry,FALSE,Chum
